Ball,Runs,Commentary
48.5,W,"J Archer to M Rahman, WICKET!!! M Rahman is out c Jonny Bairstow b Jofra Archer."
48.4,•,"J Archer to M Rahman, no run."
48.3,•,"J Archer to M Rahman, no run."
48.2,W,"J Archer to M Hasan, WICKET!!! M Hasan is out c Jonny Bairstow b Jofra Archer."
48.1,1Lb,"J Archer to M Mortaza, 1 leg bye."
47.6,•,"B Stokes to M Hasan, no run."
47.5,1,"B Stokes to M Mortaza, one run."
47.4,1,"B Stokes to M Hasan, one run."
47.3,1,"B Stokes to M Mortaza, one run."
47.2,•,"B Stokes to M Mortaza, no run."
47.1,•,"B Stokes to M Mortaza, no run."
46.6,4,"M Wood to M Hasan, FOUR."
46.5,1,"M Wood to M Mortaza, one run."
46.4,1,"M Wood to M Hasan, one run."
46.3,4,"M Wood to M Hasan, FOUR."
46.2,1,"M Wood to M Mortaza, one run."
46.1,1,"M Wood to M Hasan, one run."
45.6,•,"B Stokes to M Mortaza, no run."
45.5,•,"B Stokes to M Mortaza, no run."
45.4,W,"B Stokes to M Saifuddin, WICKET!!! M Saifuddin is out b Ben Stokes."
45.3,•,"B Stokes to M Saifuddin, no run."
45.2,2,"B Stokes to M Saifuddin, two runs."
45.1,1,"B Stokes to M Hasan, one run."
44.6,W,"M Wood to Mahmudullah, WICKET!!! Mahmudullah is out c Jonny Bairstow b Mark Wood."
44.5,1,"M Wood to M Saifuddin, one run."
42.6,1,"C Woakes to Mosaddek Hossain, one run."
44.4,•,"M Wood to M Saifuddin, no run."
44.3,1,"M Wood to Mahmudullah, one run."
44.2,1,"M Wood to M Saifuddin, one run."
44.1,1,"M Wood to Mahmudullah, one run."
43.6,•,"B Stokes to M Saifuddin, no run."
43.5,1,"B Stokes to Mahmudullah, one run."
43.4,•,"B Stokes to Mahmudullah, no run."
43.3,1,"B Stokes to M Saifuddin, one run."
43.2,1,"B Stokes to Mahmudullah, one run."
43.1,W,"B Stokes to Mosaddek Hossain, WICKET!!! Mosaddek Hossain is out c Jofra Archer b Ben Stokes."
42.5,4,"C Woakes to Mosaddek Hossain, FOUR."
42.4,1,"C Woakes to Mahmudullah, one run."
42.3,1,"C Woakes to Mosaddek Hossain, one run."
42.2,1,"C Woakes to Mahmudullah, one run."
42.1,4,"C Woakes to Mahmudullah, FOUR."
41.6,•,"B Stokes to Mosaddek Hossain, no run."
41.6,1Wd,"B Stokes to Mosaddek Hossain, wide delivery."
41.5,1,"B Stokes to Mahmudullah, one run."
41.4,•,"B Stokes to Mahmudullah, no run."
41.3,1,"B Stokes to Mosaddek Hossain, one run."
41.2,2,"B Stokes to Mosaddek Hossain, two runs."
41.1,2,"B Stokes to Mosaddek Hossain, two runs."
40.6,1,"C Woakes to Mosaddek Hossain, one run."
40.5,4,"C Woakes to Mosaddek Hossain, FOUR."
40.4,4,"C Woakes to Mosaddek Hossain, FOUR."
40.3,1,"C Woakes to Mahmudullah, one run."
40.2,1,"C Woakes to Mosaddek Hossain, one run."
40.1,•,"C Woakes to Mosaddek Hossain, no run."
39.6,1,"B Stokes to Mosaddek Hossain, one run."
39.5,•,"B Stokes to Mosaddek Hossain, no run."
39.4,4,"B Stokes to Mosaddek Hossain, FOUR."
39.3,W,"B Stokes to S Al Hasan, WICKET!!! S Al Hasan is out b Ben Stokes."
39.2,1,"B Stokes to Mahmudullah, one run."
39.1,1,"B Stokes to S Al Hasan, one run."
38.6,1,"C Woakes to S Al Hasan, one run."
38.5,4,"C Woakes to S Al Hasan, FOUR."
38.4,•,"C Woakes to S Al Hasan, no run."
38.3,4,"C Woakes to S Al Hasan, FOUR."
38.2,4,"C Woakes to S Al Hasan, FOUR."
38.1,1,"C Woakes to Mahmudullah, one run."
37.6,•,"B Stokes to S Al Hasan, no run."
37.5,•,"B Stokes to S Al Hasan, no run."
37.4,•,"B Stokes to S Al Hasan, no run."
37.3,•,"B Stokes to S Al Hasan, no run, 133.0 km/h short length outside off stump."
37.2,•,"B Stokes to S Al Hasan, no run, 125.5 km/h short length outside off stump."
37.1,•,"B Stokes to S Al Hasan, no run, 131.9 km/h short length on middle stump."
36.6,•,"J Archer to Mahmudullah, no run, 143.0 km/h short length on middle stump."
36.5,1,"J Archer to S Al Hasan, one run, 142.7 km/h full toss going down leg."
36.5,5Wd,"J Archer to S Al Hasan, wide delivery."
36.4,•,"J Archer to S Al Hasan, no run."
36.3,1,"J Archer to Mahmudullah, one run."
36.2,1,"J Archer to S Al Hasan, one run."
36.1,•,"J Archer to S Al Hasan, no run."
35.6,6,"A Rashid to Mahmudullah, SIX."
35.5,•,"A Rashid to Mahmudullah, no run."
35.5,1Wd,"A Rashid to Mahmudullah, wide delivery."
35.4,•,"A Rashid to Mahmudullah, no run."
35.3,1,"A Rashid to S Al Hasan, one run."
35.2,1,"A Rashid to Mahmudullah, one run."
35.1,•,"A Rashid to Mahmudullah, no run."
34.6,•,"J Archer to S Al Hasan, no run."
34.5,1,"J Archer to Mahmudullah, one run."
34.4,•,"J Archer to Mahmudullah, no run."
34.3,•,"J Archer to Mahmudullah, no run."
34.2,•,"J Archer to Mahmudullah, no run."
34.1,1,"J Archer to S Al Hasan, one run."
33.6,1,"A Rashid to S Al Hasan, one run."
33.5,•,"A Rashid to S Al Hasan, no run."
33.4,•,"A Rashid to S Al Hasan, no run."
33.3,1,"A Rashid to Mahmudullah, one run."
33.2,•,"A Rashid to Mahmudullah, no run."
33.1,•,"A Rashid to Mahmudullah, no run."
32.6,2,"J Archer to S Al Hasan, two runs."
32.5,1Lb,"J Archer to Mahmudullah, 1 leg bye."
32.4,•,"J Archer to Mahmudullah, no run."
32.3,1,"J Archer to S Al Hasan, one run, 138.7 km/h full length just outside off stump."
32.2,1,"J Archer to Mahmudullah, one run, 133.6 km/h good length just outside off stump."
32.1,1,"J Archer to S Al Hasan, one run, 130.0 km/h good length going down leg."
31.6,1,"A Rashid to S Al Hasan, one run."
31.5,1,"A Rashid to Mahmudullah, one run."
31.4,1,"A Rashid to S Al Hasan, one run."
31.3,•,"A Rashid to S Al Hasan, no run."
31.2,1,"A Rashid to Mahmudullah, one run."
31.1,•,"A Rashid to Mahmudullah, no run."
30.6,1,"L Plunkett to Mahmudullah, one run."
30.5,•,"L Plunkett to Mahmudullah, no run."
30.4,•,"L Plunkett to Mahmudullah, no run."
30.3,•,"L Plunkett to Mahmudullah, no run."
30.2,1,"L Plunkett to S Al Hasan, one run."
30.1,•,"L Plunkett to S Al Hasan, no run."
29.6,•,"A Rashid to Mahmudullah, no run."
29.5,•,"A Rashid to Mahmudullah, no run."
