Ball,Runs,Commentary
13.4,6,"Wahab Riaz to N Pooran, SIX, 137.2 km/h short length on middle stump."
13.3,•,"Wahab Riaz to N Pooran, no run, 115.4 km/h short length outside off stump."
13.2,4,"Wahab Riaz to N Pooran, FOUR, 140.7 km/h short length on off stump."
13.1,1,"Wahab Riaz to S Hetmyer, one run, 142.5 km/h full toss going down leg."
13.1,1Wd,"Wahab Riaz to S Hetmyer, wide delivery."
12.6,•,"H Ali to N Pooran, no run, 140.4 km/h short length on middle stump."
12.5,1,"H Ali to S Hetmyer, one run, 135.7 km/h short length on middle stump."
12.4,2,"H Ali to S Hetmyer, two runs, 140.6 km/h full length on middle stump."
12.3,•,"H Ali to S Hetmyer, no run, 134.4 km/h good length on off stump."
12.2,•,"H Ali to S Hetmyer, no run."
12.1,2,"H Ali to S Hetmyer, two runs, 135.0 km/h short length going down leg."
11.6,•,"Wahab Riaz to N Pooran, no run, 145.4 km/h short length just outside off stump."
11.5,2,"Wahab Riaz to N Pooran, two runs, 139.6 km/h short length outside off stump."
11.4,6,"Wahab Riaz to N Pooran, SIX, 139.0 km/h short length outside off stump."
11.3,4,"Wahab Riaz to N Pooran, FOUR, 141.7 km/h short length outside off stump."
11.2,1,"Wahab Riaz to S Hetmyer, one run, 140.4 km/h short length outside off stump."
11.1,1,"Wahab Riaz to N Pooran, one run, 142.7 km/h short length just outside off stump."
10.6,•,"M Amir to S Hetmyer, no run, 130.8 km/h good length just outside off stump."
10.5,W,"M Amir to C Gayle, WICKET!!! C Gayle is out c Shadab Khan b Mohammad Amir, 116.1 km/h short length on middle stump."
10.4,1,"M Amir to N Pooran, one run, 130.3 km/h short length just outside off stump."
10.3,4,"M Amir to N Pooran, FOUR, 132.4 km/h good length outside off stump."
10.2,1,"M Amir to C Gayle, one run, 134.5 km/h short length going down leg."
10.1,•,"M Amir to C Gayle, no run, 129.9 km/h short length going down leg."
9.6,•,"Wahab Riaz to N Pooran, no run, 136.7 km/h short length outside off stump."
9.5,•,"Wahab Riaz to N Pooran, no run, 142.2 km/h short length just outside off stump."
9.4,1Lb,"Wahab Riaz to C Gayle, 1 leg bye."
9.3,4,"Wahab Riaz to C Gayle, FOUR."
9.2,4,"Wahab Riaz to C Gayle, FOUR, 142.4 km/h short length going down leg."
9.1,6,"Wahab Riaz to C Gayle, SIX, 138.5 km/h short length outside off stump."
