Ball,Runs,Commentary
38.4,1,"M Henry to C Brathwaite, one run, 134.9 km/h full length just outside off stump."
48.6,W,"J Neesham to C Brathwaite, WICKET!!! C Brathwaite is out c Trent Boult b Jimmy Neesham, 121.1 km/h short length on leg stump."
48.5,•,"J Neesham to C Brathwaite, no run, 119.4 km/h short length outside off stump."
48.4,2,"J Neesham to C Brathwaite, two runs, 134.6 km/h short length just outside off stump."
48.3,•,"J Neesham to C Brathwaite, no run, 130.6 km/h short length outside off stump."
48.2,•,"J Neesham to C Brathwaite, no run, 132.7 km/h short length outside off stump."
48.1,•,"J Neesham to C Brathwaite, no run, 133.4 km/h short length outside off stump."
47.6,1,"M Henry to C Brathwaite, one run, 135.7 km/h short length outside off stump."
47.5,4,"M Henry to C Brathwaite, FOUR, 133.4 km/h short length just outside off stump."
47.4,6,"M Henry to C Brathwaite, SIX, 136.1 km/h full toss outside off stump."
47.3,6,"M Henry to C Brathwaite, SIX, 132.1 km/h full toss outside off stump."
47.2,6,"M Henry to C Brathwaite, SIX, 126.5 km/h short length just outside off stump."
47.1,2,"M Henry to C Brathwaite, two runs, 124.5 km/h short length just outside off stump."
46.6,•,"L Ferguson to O Thomas, no run, 146.8 km/h full toss on middle stump."
46.5,1,"L Ferguson to C Brathwaite, one run, 143.2 km/h short length going down leg."
46.4,•,"L Ferguson to C Brathwaite, no run, 143.0 km/h short length on middle stump."
46.3,6,"L Ferguson to C Brathwaite, SIX, 118.5 km/h full length just outside off stump."
46.2,•,"L Ferguson to C Brathwaite, no run, 120.4 km/h short length just outside off stump."
46.1,•,"L Ferguson to C Brathwaite, no run, 146.5 km/h full length on leg stump."
45.6,•,"T Boult to O Thomas, no run, 139.7 km/h full length on middle stump."
45.5,•,"T Boult to O Thomas, no run, 133.1 km/h full length on off stump."
45.4,•,"T Boult to O Thomas, no run, 136.2 km/h good length just outside off stump."
45.3,1,"T Boult to C Brathwaite, one run, 121.8 km/h short length on middle stump."
45.2,2,"T Boult to C Brathwaite, two runs, 131.5 km/h short length on leg stump."
45.1,4,"T Boult to C Brathwaite, FOUR, 134.3 km/h short length outside off stump."
44.6,W,"L Ferguson to S Cotterrell, WICKET!!! S Cotterrell is out b Lockie Ferguson, 140.2 km/h full length on off stump."
44.5,•,"L Ferguson to S Cotterrell, no run, 144.7 km/h full length going down leg."
44.4,1,"L Ferguson to C Brathwaite, one run, 121.8 km/h good length just outside off stump."
44.3,•,"L Ferguson to C Brathwaite, no run, 141.0 km/h short length on leg stump."
44.2,•,"L Ferguson to C Brathwaite, no run, 142.3 km/h short length on off stump."
44.1,•,"L Ferguson to C Brathwaite, no run, 123.4 km/h short length just outside off stump."
43.6,•,"T Boult to S Cotterrell, no run, 137.6 km/h short length outside off stump."
43.5,•,"T Boult to S Cotterrell, no run, 110.8 km/h good length just outside off stump."
43.4,•,"T Boult to S Cotterrell, no run, 130.5 km/h short length outside off stump."
43.3,•,"T Boult to S Cotterrell, no run, 112.4 km/h short length just outside off stump."
43.2,•,"T Boult to S Cotterrell, no run, 135.9 km/h short length on off stump."
43.1,1,"T Boult to C Brathwaite, one run, 134.6 km/h short length on leg stump."
42.6,•,"J Neesham to S Cotterrell, no run, 134.0 km/h short length outside off stump."
42.5,•,"J Neesham to S Cotterrell, no run, 136.3 km/h short length just outside off stump."
42.4,4,"J Neesham to S Cotterrell, FOUR, 135.7 km/h short length outside off stump."
42.3,4,"J Neesham to S Cotterrell, FOUR, 129.2 km/h short length going down leg."
42.2,•,"J Neesham to S Cotterrell, no run, 133.0 km/h short length on off stump."
42.1,•,"J Neesham to S Cotterrell, no run, 138.7 km/h full length just outside off stump."
41.6,•,"M Santner to C Brathwaite, no run, 94.6 km/h good length just outside off stump."
41.5,2,"M Santner to C Brathwaite, two runs, 91.5 km/h short length on leg stump."
41.4,1,"M Santner to S Cotterrell, one run, 88.0 km/h good length outside off stump."
41.3,•,"M Santner to S Cotterrell, no run, 87.5 km/h short length on middle stump."
41.2,1,"M Santner to C Brathwaite, one run, 93.9 km/h good length on middle stump."
41.1,4,"M Santner to C Brathwaite, FOUR, 94.9 km/h short length just outside off stump."
40.6,1,"J Neesham to C Brathwaite, one run, 137.1 km/h good length just outside off stump."
40.5,2,"J Neesham to C Brathwaite, two runs, 132.9 km/h short length just outside off stump."
40.4,1,"J Neesham to S Cotterrell, one run, 132.1 km/h short length just outside off stump."
40.3,•,"J Neesham to S Cotterrell, no run, 129.9 km/h short length outside off stump."
40.2,•,"J Neesham to S Cotterrell, no run, 133.3 km/h good length just outside off stump."
40.1,1,"J Neesham to C Brathwaite, one run, 129.2 km/h short length going down leg."
39.6,1,"M Santner to C Brathwaite, one run, 89.1 km/h good length on middle stump."
39.5,1,"M Santner to S Cotterrell, one run, 81.7 km/h good length just outside off stump."
39.4,•,"M Santner to S Cotterrell, no run, 87.5 km/h good length on off stump."
39.3,•,"M Santner to S Cotterrell, no run, 88.6 km/h good length on middle stump."
39.2,2,"M Santner to S Cotterrell, two runs, 86.5 km/h good length on middle stump."
39.1,•,"M Santner to S Cotterrell, no run, 87.6 km/h good length just outside off stump."
38.6,4,"M Henry to C Brathwaite, FOUR, 135.1 km/h good length just outside off stump."
38.5,1,"M Henry to S Cotterrell, one run, 136.5 km/h short length just outside off stump."
38.3,1,"M Henry to S Cotterrell, one run, 129.3 km/h short length on middle stump."
38.2,•,"M Henry to S Cotterrell, no run, 133.8 km/h good length on middle stump."
38.1,W,"M Henry to K Roach, WICKET!!! K Roach is out c Tom Latham b Matt Henry, 130.3 km/h short length outside off stump."
37.6,•,"M Santner to C Brathwaite, no run, 92.2 km/h short length on off stump."
37.5,•,"M Santner to C Brathwaite, no run, 90.4 km/h good length just outside off stump."
37.4,1,"M Santner to K Roach, one run, 76.4 km/h short length outside off stump."
37.3,•,"M Santner to K Roach, no run, 94.2 km/h good length on middle stump."
37.2,•,"M Santner to K Roach, no run, 90.0 km/h good length on middle stump."
37.1,1,"M Santner to C Brathwaite, one run, 85.1 km/h short length just outside off stump."
36.6,•,"M Henry to K Roach, no run, 129.4 km/h short length outside off stump."
36.5,•,"M Henry to K Roach, no run, 131.9 km/h short length on off stump."
36.4,•,"M Henry to K Roach, no run, 137.0 km/h short length on middle stump."
36.3,•,"M Henry to K Roach, no run, 134.6 km/h good length on middle stump."
36.2,1,"M Henry to C Brathwaite, one run, 131.2 km/h short length on off stump."
36.1,•,"M Henry to C Brathwaite, no run, 133.6 km/h good length on middle stump."
35.6,•,"L Ferguson to K Roach, no run, 148.1 km/h full toss just outside off stump."
35.5,•,"L Ferguson to K Roach, no run, 140.0 km/h short length just outside off stump."
35.4,•,"L Ferguson to K Roach, no run, 147.8 km/h good length just outside off stump."
35.3,1,"L Ferguson to C Brathwaite, one run, 140.6 km/h short length going down leg."
35.2,1,"L Ferguson to K Roach, one run, 140.1 km/h short length just outside off stump."
35.1,•,"L Ferguson to K Roach, no run, 144.7 km/h short length on off stump."
34.6,4,"C de Grandhomme to C Brathwaite, FOUR, 125.7 km/h good length going down leg."
34.5,•,"C de Grandhomme to C Brathwaite, no run, 123.0 km/h good length on leg stump."
34.4,1,"C de Grandhomme to K Roach, one run, 123.8 km/h full length on leg stump."
34.3,•,"C de Grandhomme to K Roach, no run, 123.0 km/h good length on middle stump."
34.2,1,"C de Grandhomme to C Brathwaite, one run, 120.3 km/h good length on middle stump."
34.1,4,"C de Grandhomme to C Brathwaite, FOUR, 122.8 km/h good length going down leg."
33.6,1,"L Ferguson to C Brathwaite, one run, 145.6 km/h short length just outside off stump."
33.5,•,"L Ferguson to C Brathwaite, no run, 143.6 km/h short length going down leg."
33.4,•,"L Ferguson to C Brathwaite, no run, 146.3 km/h short length outside off stump."
33.4,5Wd,"L Ferguson to C Brathwaite, wide delivery."
33.3,1,"L Ferguson to K Roach, one run, 144.0 km/h short length just outside off stump."
33.2,1,"L Ferguson to C Brathwaite, one run, 138.4 km/h short length going down leg."
33.1,•,"L Ferguson to C Brathwaite, no run, 145.2 km/h full length just outside off stump."
32.6,•,"C de Grandhomme to K Roach, no run, 117.7 km/h good length on leg stump."
32.5,•,"C de Grandhomme to K Roach, no run, 119.2 km/h full length outside off stump."
32.4,1,"C de Grandhomme to C Brathwaite, one run, 123.6 km/h good length on middle stump."
32.3,1Lb,"C de Grandhomme to K Roach, 1 leg bye."
32.2,•,"C de Grandhomme to K Roach, no run, 118.2 km/h good length on middle stump."
32.1,1,"C de Grandhomme to C Brathwaite, one run, 121.9 km/h good length on leg stump."
31.6,1,"M Santner to C Brathwaite, one run, 85.6 km/h short length just outside off stump."
31.5,1,"M Santner to K Roach, one run, 77.9 km/h good length on off stump."
31.4,6,"M Santner to K Roach, SIX, 85.8 km/h good length outside off stump."
31.3,•,"M Santner to K Roach, no run, 88.6 km/h good length on leg stump."
31.2,1,"M Santner to C Brathwaite, one run."
31.1,6,"M Santner to C Brathwaite, SIX, 89.0 km/h good length just outside off stump."
30.6,1,"T Boult to C Brathwaite, one run, 135.2 km/h short length on off stump."
